id, check, result
s1, _type_check, True
s1, _id_check, True
s1, _name_check, True
s1, _mass_check, True
s1, _charge_check, True
s1, _check_mass_type, True
s2, _type_check, True
s2, _id_check, True
s2, _name_check, True
s2, _mass_check, True
s2, _charge_check, True
s2, _check_mass_type, True
f1, _type_check, True
f1, _id_check, True
f1, _name_check, True
f1, _mass_check, True
f1, _charge_check, True
f1, _WeylSpinor, True
f1, _check_mass_type, True
f2, _type_check, True
f2, _id_check, True
f2, _name_check, True
f2, _mass_check, True
f2, _charge_check, True
f2, _WeylSpinor, True
f2, _check_mass_type, True
f3, _type_check, True
f3, _id_check, True
f3, _name_check, True
f3, _mass_check, True
f3, _charge_check, True
f3, _WeylSpinor, True
f3, _check_mass_type, True
f4, _type_check, True
f4, _id_check, True
f4, _name_check, True
f4, _mass_check, True
f4, _charge_check, True
f4, _WeylSpinor, True
f4, _check_mass_type, True
f5, _type_check, True
f5, _id_check, True
f5, _name_check, True
f5, _mass_check, True
f5, _charge_check, True
f5, _WeylSpinor, True
f5, _check_mass_type, True
f6, _type_check, True
f6, _id_check, True
f6, _name_check, True
f6, _mass_check, True
f6, _charge_check, True
f6, _WeylSpinor, True
f6, _check_mass_type, True
f7, _type_check, True
f7, _id_check, True
f7, _name_check, True
f7, _mass_check, True
f7, _charge_check, True
f7, _WeylSpinor, True
f7, _check_mass_type, True
f8, _type_check, True
f8, _id_check, True
f8, _name_check, True
f8, _mass_check, True
f8, _charge_check, True
f8, _WeylSpinor, True
f8, _check_mass_type, True
f9, _type_check, True
f9, _id_check, True
f9, _name_check, True
f9, _mass_check, True
f9, _charge_check, True
f9, _WeylSpinor, True
f9, _check_mass_type, True
f10, _type_check, True
f10, _id_check, True
f10, _name_check, True
f10, _mass_check, True
f10, _charge_check, True
f10, _WeylSpinor, True
f10, _check_mass_type, True
f11, _type_check, True
f11, _id_check, True
f11, _name_check, True
f11, _mass_check, True
f11, _charge_check, True
f11, _WeylSpinor, True
f11, _check_mass_type, True
f12, _type_check, True
f12, _id_check, True
f12, _name_check, True
f12, _mass_check, True
f12, _charge_check, True
f12, _WeylSpinor, True
f12, _check_mass_type, True
m6, _id_check, True
m6, _name_check, True
m6, _type_check, True
m6, _groups_check, True
m6, _reps_check, True
m6, _dim_check, True
m6, _gen_check, True
m6, _particles_check, True
m6, _self_conjugate_check, True
m6, _ptcl_check, True
m6, _check_gen_type_consistency, True
m6, _sort_reps, True
m6, _check_reps_dim_consistency, True
m6, _sort_particle_ordering, True
m1, _id_check, True
m1, _name_check, True
m1, _type_check, True
m1, _groups_check, True
m1, _reps_check, True
m1, _dim_check, True
m1, _gen_check, True
m1, _particles_check, True
m1, _self_conjugate_check, True
m1, _ptcl_check, True
m1, _check_gen_type_consistency, True
m1, _sort_reps, True
m1, _check_reps_dim_consistency, True
m1, _sort_particle_ordering, True
m1, _chirality_check, True
m1, _assign_colors, True
m2, _id_check, True
m2, _name_check, True
m2, _type_check, True
m2, _groups_check, True
m2, _reps_check, True
m2, _dim_check, True
