id, check, score, max_score, error_var, good_var, message
s1, _type_check, 1, 1, [], ['particles.s1.type'], Passed
s1, _name_check, 1, 1, [], ['particles.s1.name'], Passed
s1, _mass_check, 1, 1, [], ['particles.s1.mass'], Passed
s1, _charge_check, 1, 1, [], ['particles.s1.charge'], Passed
s2, _type_check, 1, 1, [], ['particles.s2.type'], Passed
s2, _name_check, 1, 1, [], ['particles.s2.name'], Passed
s2, _mass_check, 1, 1, [], ['particles.s2.mass'], Passed
s2, _charge_check, 1, 1, [], ['particles.s2.charge'], Passed
f1, _type_check, 1, 1, [], ['particles.f1.type'], Passed
f1, _name_check, 1, 1, [], ['particles.f1.name'], Passed
f1, _mass_check, 1, 1, [], ['particles.f1.mass'], Passed
f1, _charge_check, 1, 1, [], ['particles.f1.charge'], Passed
f2, _type_check, 1, 1, [], ['particles.f2.type'], Passed
f2, _name_check, 1, 1, [], ['particles.f2.name'], Passed
f2, _mass_check, 1, 1, [], ['particles.f2.mass'], Passed
f2, _charge_check, 1, 1, [], ['particles.f2.charge'], Passed
f3, _type_check, 1, 1, [], ['particles.f3.type'], Passed
f3, _name_check, 1, 1, [], ['particles.f3.name'], Passed
f3, _mass_check, 1, 1, [], ['particles.f3.mass'], Passed
f3, _charge_check, 1, 1, [], ['particles.f3.charge'], Passed
f4, _type_check, 1, 1, [], ['particles.f4.type'], Passed
f4, _name_check, 1, 1, [], ['particles.f4.name'], Passed
f4, _mass_check, 1, 1, [], ['particles.f4.mass'], Passed
f4, _charge_check, 1, 1, [], ['particles.f4.charge'], Passed
f5, _type_check, 1, 1, [], ['particles.f5.type'], Passed
f5, _name_check, 1, 1, [], ['particles.f5.name'], Passed
f5, _mass_check, 1, 1, [], ['particles.f5.mass'], Passed
f5, _charge_check, 1, 1, [], ['particles.f5.charge'], Passed
f6, _type_check, 1, 1, [], ['particles.f6.type'], Passed
f6, _name_check, 1, 1, [], ['particles.f6.name'], Passed
f6, _mass_check, 1, 1, [], ['particles.f6.mass'], Passed
f6, _charge_check, 1, 1, [], ['particles.f6.charge'], Passed
f7, _type_check, 1, 1, [], ['particles.f7.type'], Passed
f7, _name_check, 1, 1, [], ['particles.f7.name'], Passed
