id, check, score, max_score, error_var, good_var, message
s1, _type_check, 1, 1, [], ['particles.s1.type'], Passed, particle
s1, _name_check, 1, 1, [], ['particles.s1.name'], Passed, particle
s1, _mass_check, 1, 1, [], ['particles.s1.mass'], Passed, particle
s1, _charge_check, 1, 1, [], ['particles.s1.charge'], Passed, particle
s2, _type_check, 1, 1, [], ['particles.s2.type'], Passed, particle
s2, _name_check, 1, 1, [], ['particles.s2.name'], Passed, particle
s2, _mass_check, 1, 1, [], ['particles.s2.mass'], Passed, particle
s2, _charge_check, 1, 1, [], ['particles.s2.charge'], Passed, particle
f1, _type_check, 1, 1, [], ['particles.f1.type'], Passed, particle
f1, _name_check, 1, 1, [], ['particles.f1.name'], Passed, particle
f1, _mass_check, 1, 1, [], ['particles.f1.mass'], Passed, particle
f1, _charge_check, 1, 1, [], ['particles.f1.charge'], Passed, particle
f2, _type_check, 1, 1, [], ['particles.f2.type'], Passed, particle
f2, _name_check, 1, 1, [], ['particles.f2.name'], Passed, particle
f2, _mass_check, 1, 1, [], ['particles.f2.mass'], Passed, particle
f2, _charge_check, 1, 1, [], ['particles.f2.charge'], Passed, particle
f3, _type_check, 1, 1, [], ['particles.f3.type'], Passed, particle
f3, _name_check, 1, 1, [], ['particles.f3.name'], Passed, particle
f3, _mass_check, 1, 1, [], ['particles.f3.mass'], Passed, particle
f3, _charge_check, 1, 1, [], ['particles.f3.charge'], Passed, particle
f4, _type_check, 1, 1, [], ['particles.f4.type'], Passed, particle
f4, _name_check, 1, 1, [], ['particles.f4.name'], Passed, particle
f4, _mass_check, 1, 1, [], ['particles.f4.mass'], Passed, particle
f4, _charge_check, 1, 1, [], ['particles.f4.charge'], Passed, particle
f5, _type_check, 1, 1, [], ['particles.f5.type'], Passed, particle
f5, _name_check, 1, 1, [], ['particles.f5.name'], Passed, particle
f5, _mass_check, 1, 1, [], ['particles.f5.mass'], Passed, particle
f5, _charge_check, 1, 1, [], ['particles.f5.charge'], Passed, particle
f6, _type_check, 1, 1, [], ['particles.f6.type'], Passed, particle
f6, _name_check, 1, 1, [], ['particles.f6.name'], Passed, particle
f6, _mass_check, 1, 1, [], ['particles.f6.mass'], Passed, particle
f6, _charge_check, 1, 1, [], ['particles.f6.charge'], Passed, particle
