id, check, result
m6, _ptcl_check, True
m6, _check_gen_type_consistency, True
m6, _sort_reps, True
m6, _check_reps_dim_consistency, True
m6, _allowed_charge, True
m6, _sort_particle_ordering, True
m1, _ptcl_check, True
m1, _check_gen_type_consistency, True
m1, _sort_reps, True
m1, _check_reps_dim_consistency, True
m1, _allowed_charge, True
m1, _sort_particle_ordering, True
m1, _chirality_check, True
m1, _assign_colors, True
m2, _ptcl_check, True
m2, _check_gen_type_consistency, True
m2, _sort_reps, True
m2, _check_reps_dim_consistency, True
m2, _allowed_charge, True
m2, _sort_particle_ordering, True
m2, _chirality_check, True
m2, _assign_colors, True
m3, _ptcl_check, True
m3, _check_gen_type_consistency, True
m3, _sort_reps, True
m3, _check_reps_dim_consistency, True
m3, _allowed_charge, True
m3, _sort_particle_ordering, True
m3, _chirality_check, True
m3, _assign_colors, True
m4, _ptcl_check, True
m4, _check_gen_type_consistency, True
m4, _sort_reps, True
m4, _check_reps_dim_consistency, True
m4, _allowed_charge, True
m4, _sort_particle_ordering, True
m4, _chirality_check, True
m4, _assign_colors, True
m5, _ptcl_check, True
m5, _check_gen_type_consistency, True
m5, _sort_reps, True
m5, _check_reps_dim_consistency, True
m5, _allowed_charge, True
m5, _sort_particle_ordering, True
m5, _chirality_check, True
m5, _assign_colors, True
i1, _id_check, True
i1, _field_length_check, True
i1, _field_type_check, True
i1, _field_check, True
i1, _params_check, True
i1, _all_field_pass_checks, True
i1, _check_replicate_fields, True
i1, _check_replicate_particles, True
i1, _sort_field, True
i1, _gen_check, True
i1, _dim_check, True
i1, _dirac_bilinear_product, True
i1, _get_massive_particles, True
i1, _check_U1Y_gauge_symmetry, True
i1, _yukawa_mass, True
i1, _yukawa_matrix, True
i1, _mixing_matrix, True
i1, _yukawa_lagrangian, True
i2, _id_check, True
i2, _field_length_check, True
i2, _field_type_check, True
i2, _field_check, True
i2, _params_check, True
i2, _all_field_pass_checks, True
i2, _check_replicate_fields, True
i2, _check_replicate_particles, True
i2, _sort_field, True
i2, _gen_check, True
i2, _dim_check, True
i2, _dirac_bilinear_product, True
i2, _get_massive_particles, True
i2, _check_U1Y_gauge_symmetry, True
i2, _yukawa_mass, True
i2, _yukawa_matrix, True
i2, _mixing_matrix, True
i2, _yukawa_lagrangian, True
i3, _id_check, True
i3, _field_length_check, True
i3, _field_type_check, True
i3, _field_check, True
i3, _params_check, True
i3, _all_field_pass_checks, True
i3, _check_replicate_fields, True
i3, _check_replicate_particles, True
i3, _sort_field, True
i3, _gen_check, True
i3, _dim_check, True
i3, _dirac_bilinear_product, True
i3, _get_massive_particles, True
i3, _check_U1Y_gauge_symmetry, True
i3, _yukawa_mass, True
i3, _yukawa_matrix, True
i3, _mixing_matrix, True
i3, _yukawa_lagrangian, True
i4, _id_check, True
i4, _field_length_check, True
i4, _field_type_check, True
i4, _field_check, True
i4, _params_check, True
i4, _all_field_pass_checks, True
i4, _check_replicate_fields, True
i4, _check_replicate_particles, True
i4, _sort_field, True
i4, _scalar_mass, True
i4, _scalar_quartic, True
i4, _scalar_lagrangian, True
