id, check, score, max_score, error_var, message
m6, _sort_reps, 0, 1, ['reps'], Error: 'g4'
m6, _reps_dim_consistency, 0, 1, [], Skipped due to previous check failure
m6, _gen_type_consistency, 0, 1, [], Skipped due to previous check failure
m6, _allowed_charges, 0, 1, [], Skipped due to previous check failure
m6, _deplicate_particles, 0, 1, [], Skipped due to previous check failure
m6, _particle_numbers, 0, 1, [], Skipped due to previous check failure
m6, _particle_types, 0, 1, [], Skipped due to previous check failure
m6, _particle_charges, 0, 1, [], Skipped due to previous check failure
m6, _all_particle_pass, 0, 1, [], Skipped due to previous check failure
m6, _sort_particles, 0, 2, [], Skipped due to previous check failure
m6, _mass_term_check, 0, 10, [], Skipped due to previous check failure
m6, _potential_term_check, 0, 10, [], Skipped due to previous check failure
m1, _sort_reps, 0, 1, ['reps'], Error: 'g4'
m1, _reps_dim_consistency, 0, 1, [], Skipped due to previous check failure
m1, _gen_type_consistency, 0, 1, [], Skipped due to previous check failure
m1, _allowed_charges, 0, 1, [], Skipped due to previous check failure
m1, _deplicate_particles, 0, 1, [], Skipped due to previous check failure
m1, _particle_numbers, 0, 1, [], Skipped due to previous check failure
m1, _particle_types, 0, 1, [], Skipped due to previous check failure
m1, _particle_charges, 0, 1, [], Skipped due to previous check failure
m1, _all_particle_pass, 0, 1, [], Skipped due to previous check failure
m1, _sort_particles, 0, 2, [], Skipped due to previous check failure
m1, _assign_colors, 0, 1, [], Skipped due to previous check failure
m1, _mass_term_check, 0, 10, [], Skipped due to previous check failure
m2, _sort_reps, 0, 1, ['reps'], Error: 'g4'
m2, _reps_dim_consistency, 0, 1, [], Skipped due to previous check failure
m2, _gen_type_consistency, 0, 1, [], Skipped due to previous check failure
m2, _allowed_charges, 0, 1, [], Skipped due to previous check failure
m2, _deplicate_particles, 0, 1, [], Skipped due to previous check failure
m2, _particle_numbers, 0, 1, [], Skipped due to previous check failure
m2, _particle_types, 0, 1, [], Skipped due to previous check failure
m2, _particle_charges, 0, 1, [], Skipped due to previous check failure
m2, _all_particle_pass, 0, 1, [], Skipped due to previous check failure
m2, _sort_particles, 0, 2, [], Skipped due to previous check failure
m2, _assign_colors, 0, 1, [], Skipped due to previous check failure
m2, _mass_term_check, 0, 10, [], Skipped due to previous check failure
m3, _sort_reps, 0, 1, ['reps'], Error: 'g4'
m3, _reps_dim_consistency, 0, 1, [], Skipped due to previous check failure
m3, _gen_type_consistency, 0, 1, [], Skipped due to previous check failure
m3, _allowed_charges, 0, 1, [], Skipped due to previous check failure
m3, _deplicate_particles, 0, 1, [], Skipped due to previous check failure
m3, _particle_numbers, 0, 1, [], Skipped due to previous check failure
m3, _particle_types, 0, 1, [], Skipped due to previous check failure
m3, _particle_charges, 0, 1, [], Skipped due to previous check failure
m3, _all_particle_pass, 0, 1, [], Skipped due to previous check failure
m3, _sort_particles, 0, 2, [], Skipped due to previous check failure
m3, _assign_colors, 0, 1, [], Skipped due to previous check failure
m3, _mass_term_check, 0, 10, [], Skipped due to previous check failure
